Noun,Frequency,Task,Gender,Number
globo,21330,Prod,Masculine,Singular
perro,90314,Prod,Masculine,Singular
pescado,33801,Prod,Masculine,Singular
música,380101,Prod,Feminine,Singular
pizza,11086,Prod,Feminine,Singular
puerta,174870,Prod,Feminine,Singular
números,450429,Prod,Masculine,Plural
instrumentos,77884,Prod,Masculine,Plural
libros,591886,Prod,Masculine,Plural
chaquetas,9381,Prod,Feminine,Plural
galletas,3370,Prod,Feminine,Plural
mascarillas,4777,Prod,Feminine,Plural
lapicero,1042,FCT,Masculine,Singular
libro,591886,FCT,Masculine,Singular
muñeco,6412,FCT,Masculine,Singular
guitarra,39569,FCT,Feminine,Singular
película,337732,FCT,Feminine,Singular
piñata,1653,FCT,Feminine,Singular
instrumentos,778854,FCT,Masculine,Plural
libros,591886,FCT,Masculine,Plural
números,450429,FCT,Masculine,Plural
cartas,169250,FCT,Feminine,Plural
letras,80254,FCT,Feminine,Plural
uñas,5678,FCT,Feminine,Plural